post_id,score,top_comment_id,verdict,date,time
ts4qx0,31885,i2pdrws,NTA,2022-03-30,11:55:45
itd4ok,31766,g5dll3j,NTA,2020-09-15,17:14:54
gbl3wk,31742,fp6cqp3,NTA,2020-05-01,16:18:13
mua3bp,31722,gv4jbp7,NTA,2021-04-19,20:44:39
dz2eyy,31677,f84rxfx,NAH,2019-11-20,14:00:14
e1go2v,31664,f8oy03b,NTA,2019-11-25,14:20:29
ompv7i,31630,h5mifa0,NTA,2021-07-18,12:46:26
ghaqsu,31662,fq80rhs,NTA,2020-05-10,22:10:14
uur9ho,31625,i9gvl3v,NTA,2022-05-21,17:01:02
jrrmdy,31617,gbuwuxy,NTA,2020-11-10,19:27:03
xs5j2j,31539,iqikyct,NTA,2022-09-30,16:19:20
ei9igg,31591,fcodw3b,NTA,2019-12-31,22:00:19
9wg9ep,31524,e9khkgx,NTA,2018-11-12,17:56:31
h9emck,31497,fuw57n2,NTA,2020-06-15,11:38:25
fliqbb,31452,fkz3t4k,NTA,2020-03-19,21:57:57
lb4bjq,31420,glrrn50,NTA,2021-02-02,19:37:07
j53rip,31334,g7s9t0d,NTA,2020-10-04,18:25:11
vw15fn,31397,ifn4odh,NTA,2022-07-10,21:07:21
hm9j4o,31405,fx3u39p,NTA,2020-07-06,15:18:25
hkh0dd,31310,fwslqg4,NTA,2020-07-03,10:54:19
ggmc1h,31248,fq2asag,NTA,2020-05-09,19:52:25
okvcuj,31119,h5adh7y,NTA,2021-07-15,15:38:20
gp0at9,31203,frjgk8a,NTA,2020-05-23,06:39:59
10od1e7,31273,j6dubw9,NTA,2023-01-29,17:25:17
owd315,31105,h7f6obc,NTA,2021-08-02,12:04:03
iqyn74,31058,g4v1mhm,NTA,2020-09-11,20:30:46
l05log,31075,gjrnfmy,NTA,2021-01-18,22:33:24
vuiviv,31078,ifdujok,NTA,2022-07-08,19:36:21
ipw5v4,31089,g4mezf4,NTA,2020-09-10,04:05:55
cg1u8p,31053,eue00is,YTA,2019-07-21,17:51:48
zcgmon,31049,iywc6eo,NTA,2022-12-04,18:02:24
xuu5zc,30968,iqxfswr,NTA,2022-10-03,20:15:29
hppclc,30925,fxsyqd2,NTA,2020-07-12,05:47:52
tm2oh0,30996,i1wvs4s,NTA,2022-03-24,10:19:01
cb6xz4,30971,etdi6s9,NTA,2019-07-09,21:11:32
175ddnr,31007,k4eth7i,NTA,2023-10-11,12:56:00
w6u5j7,30890,ihfu1e0,NTA,2022-07-24,12:07:43
15c8d0a,30915,jtur4yj,NTA,2023-07-28,20:32:39
c5eeb5,30781,es1c0y2,NTA,2019-06-25,20:10:13
rku5j5,30812,hpbsv63,NTA,2021-12-20,18:46:58
jxq6yb,30764,gcy036i,NTA,2020-11-20,14:41:34
d9m02m,30747,f1j05b6,NTA,2019-09-26,16:27:42
qkqef4,30667,hiyj4vc,NTA,2021-11-01,23:08:13
11avzan,30705,j9unq1z,NTA,2023-02-24,16:51:34
u84njt,30740,i5iwtk6,NTA,2022-04-20,19:40:48
tb6ywm,30634,i05btud,NTA,2022-03-10,19:41:41
oe6gq1,30690,h44jxkf,NTA,2021-07-05,12:33:54
daxa38,30636,f1vq6s9,NTA,2019-09-29,16:18:47
c5dfa2,30589,es1a9wg,NTA,2019-06-25,19:03:40
vpva32,30630,ielbs2a,NTA,2022-07-02,16:18:41
cz5vk2,30582,eyw86wc,NTA,2019-09-03,14:49:58
ch3vqi,30561,euq6j6h,YTA,2019-07-24,05:20:24
jlzj6u,30538,gas055h,NTA,2020-11-01,09:20:20
k70qfu,30491,geo3hso,NTA,2020-12-05,04:07:53
wp874j,30486,ikf60wi,NTA,2022-08-15,19:16:51
soo55j,30470,hwa0ji5,NTA,2022-02-09,21:14:12
vss2sc,30475,if2yt1w,NTA,2022-07-06,15:02:30
kn4yux,30433,ghidt7k,NTA,2020-12-30,16:08:43
ob9zec,30391,h3mrwu8,ESH,2021-07-01,00:09:54
e52dls,30417,f9hardb,NTA,2019-12-02,17:34:45
ic651e,30328,g20gerr,NTA,2020-08-18,18:02:23
sgpy7n,30252,huxxgkm,NTA,2022-01-31,02:33:08
zx49l5,30191,j1yf3nm,NTA,2022-12-28,08:17:08
go5wwj,30385,frdw7hi,NTA,2020-05-21,21:39:41
lxfk2w,30179,gpn68kl,NTA,2021-03-04,07:53:47
j7b7ew,30186,g83jinw,NTA,2020-10-08,11:16:22
c03hb1,30171,er2aebo,NTA,2019-06-13,09:04:45
gflupe,30139,fpudeug,NTA,2020-05-08,03:52:21
uuo7wb,30131,i9gbcs7,NTA,2022-05-21,14:25:57
uj9izs,30133,i7hiyud,NTA,2022-05-05,22:53:34
cqbhfo,30080,ewvlx2p,YTA,2019-08-14,15:47:11
146tc72,30075,jns1h91,YTA,2023-06-11,12:59:28
14qk4c9,30042,jqnfx3j,NTA,2023-07-04,16:38:55
ufbbvv,30006,i6seyez,NTA,2022-04-30,13:41:35
oi5kz7,30001,h4tbviw,NTA,2021-07-11,14:37:10
hwcqu8,29944,fyz43hz,NTA,2020-07-23,09:34:16
nzsu2d,29909,h1thbgr,N/A,2021-06-14,18:02:18
14eda0w,29915,jou68g1,NTA,2023-06-20,14:53:21
eayiq4,29858,fb01xya,NTA,2019-12-15,12:42:08
jnayad,29768,gb0d6hf,NTA,2020-11-03,14:13:57
ln04z1,29836,gny02sx,NTA,2021-02-18,23:09:36
fvx43x,29772,fmkygou,NTA,2020-04-06,11:28:35
socrlh,29765,hw7vkhi,NTA,2022-02-09,12:47:12
ojzd5s,29824,h54pxbj,NTA,2021-07-14,07:35:18
ecu3p4,29775,fbdoh1x,ESH,2019-12-19,14:43:08
ndtjqu,29717,gycimli,NTA,2021-05-16,17:42:14
hbdi4l,29737,fv852ev,NTA,2020-06-18,12:17:17
i0oqvb,29707,fzqpncj,NTA,2020-07-30,16:08:27
c9uay1,29697,et2xhhx,YTA,2019-07-06,14:42:00
ccnvdo,29700,eto518e,NTA,2019-07-13,10:28:08
yfm01l,29711,iu42wdu,NTA,2022-10-28,11:47:22
or9zb2,29671,h6gqgst,NTA,2021-07-25,11:35:06
i1r9ka,29699,fzzksid,NTA,2020-08-01,12:15:15
bmi2qj,29664,emwr7jb,ESH,2019-05-09,10:28:18
cx82jo,29703,eyjfks3,NTA,2019-08-29,22:32:22
13os3i5,29641,jl5ppdn,NTA,2023-05-22,14:13:30
eh8f8j,29625,fcggx7o,NTA,2019-12-29,17:13:23
itg9l6,29543,g5i0bx2,NTA,2020-09-15,19:53:10
107cwki,29622,j3lkspq,NTA,2023-01-09,12:11:45
ot3iy2,29537,h6srvnh,NTA,2021-07-28,05:23:43
kb4og9,29541,gfecg9b,NTA,2020-12-11,15:18:50
gwxbxu,29536,fsxsala,NTA,2020-06-05,04:00:42
tmem01,29505,i1xpp1j,NTA,2022-03-24,14:43:18
de46pf,29433,f2sxrnz,YTA,2019-10-06,14:49:03
hjwxmn,29467,fwp4wbz,NTA,2020-07-02,13:24:08
v0bel6,29384,iafe29e,NTA,2022-05-29,13:39:38
h8ypa1,29352,futllkb,NTA,2020-06-14,18:14:18
dmfsum,29397,f5032l0,NAH,2019-10-24,12:38:15
dfzi7d,29338,f372xzv,NTA,2019-10-10,15:18:02
exk08u,29308,fg8lvg4,NTA,2020-02-02,05:59:58
hwf4v6,29312,fyz4zgv,NTA,2020-07-23,12:54:38
11ka6ov,29295,jb65oh7,NTA,2023-03-06,18:55:00
ou6kre,29283,h707s7j,NTA,2021-07-29,21:17:48
c5qju8,29287,es3omc9,NAH,2019-06-26,14:34:02
ms225f,29254,gupxfhh,NTA,2021-04-16,12:26:01
q0u9g1,29264,hfajs5q,NTA,2021-10-04,00:16:41
vfnpcs,29220,icwxgpr,NTA,2022-06-19,05:01:11
w1l464,29247,igky28s,NTA,2022-07-17,23:56:07
f93gj0,29215,fip87xy,NTA,2020-02-25,03:02:48
ww3v9f,29146,iliy61q,NTA,2022-08-23,23:45:24
w77sl5,29167,ihm57ll,NTA,2022-07-24,22:26:48
cavukv,29134,etbgfig,NTA,2019-07-09,04:17:47
hfr4xe,29062,fvz9lb2,NTA,2020-06-25,18:17:04
za73bi,29143,iykgoj5,NTA,2022-12-02,01:34:59
whq7cz,29131,ij6x4gg,NTA,2022-08-06,14:55:05
